date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:27:19	9658/9658	---MCZ	200	added ('OK')	text/html	etag:W/%2225ba-ySkenM+oPNPe9v0VSmyi7ZTsdog%22	https://www.dream11.com/leagues?sid=0	C:/Users/AK/Music/dream11/www.dream11.com/leaguesd764.html	(from )
13:27:19	243/243	---M--	200	added ('OK')	text/plain	etag:%22e3a66dd4ec5587b67c4d64a4d1135cfc%22	https://www.dream11.com/robots.txt		(from )
13:27:20	9187/9187	---MCZ	200	added ('OK')	application/javascript	etag:W/%2223e3-178fabdb0be%22	https://www.dream11.com/public/satan.js	C:/Users/AK/Music/dream11/www.dream11.com/public/satan.js	(from https://www.dream11.com/leagues?sid=0)
13:27:20	59075/59075	---MCZ	200	added ('OK')	application/javascript	etag:W/%22bef22dc89460abd51280cb00f794698c%22	https://www.datadoghq-browser-agent.com/datadog-rum.js	C:/Users/AK/Music/dream11/www.datadoghq-browser-agent.com/datadog-rum.js	(from https://www.dream11.com/leagues?sid=0)
13:27:20	157059/157059	---M--	200	added ('OK')	image/jpeg	etag:%2239c638a9a14ff8906092563af14d82d6%22	https://www.dream11.com/public/imgs/desktop-pwa_11.jpg	C:/Users/AK/Music/dream11/www.dream11.com/public/imgs/desktop-pwa_11.jpg	(from https://www.dream11.com/leagues?sid=0)
13:27:20	6471/6471	---M--	200	added ('OK')	image/png	etag:%2233b59ceced52745d3de369a63aae1891%22	https://www.dream11.com/public/imgs/pwa-v3-144.png	C:/Users/AK/Music/dream11/www.dream11.com/public/imgs/pwa-v3-144.png	(from https://www.dream11.com/leagues?sid=0)
13:27:20	587/587	---M--	200	added ('OK')	text/html	etag:W/%2224b-/RkPnJ6BZFe6XdyolfVQ9s+C5Zo%22	https://www.dream11.com/public/manifest.json	C:/Users/AK/Music/dream11/www.dream11.com/public/manifest.html	(from https://www.dream11.com/leagues?sid=0)
13:27:21	44300/44300	---M--	200	added ('OK')	application/font-woff2	etag:W/%22ad0c-1786d3ea8fd%22	https://www.dream11.com/public/MaterialIcons-Regular.woff2	C:/Users/AK/Music/dream11/www.dream11.com/public/MaterialIcons-Regular.woff2	(from https://www.dream11.com/leagues?sid=0)
13:27:21	151645/151645	---MCZ	200	added ('OK')	application/javascript	etag:W/%222505d-178b03a550a%22	https://www.dream11.com/public/vendors~main-fd3ec4b95d98b9c25f6d-chunk.js	C:/Users/AK/Music/dream11/www.dream11.com/public/vendors_main-fd3ec4b95d98b9c25f6d-chunk.js	(from https://www.dream11.com/leagues?sid=0)
13:27:21	155092/155092	---MCZ	200	added ('OK')	application/javascript	etag:W/%2225dd4-178fabdb0f0%22	https://www.dream11.com/public/main-e0aa74bd7ff2c1178ada-chunk.js	C:/Users/AK/Music/dream11/www.dream11.com/public/main-e0aa74bd7ff2c1178ada-chunk.js	(from https://www.dream11.com/leagues?sid=0)
13:27:21	7928/7928	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224c7d9b731154764b4e9bb5ce85dd10ce%22	https://www.dream11.com/public/imgs/dream11_logo-3.svg	C:/Users/AK/Music/dream11/www.dream11.com/public/imgs/dream11_logo-3.svg	(from https://www.dream11.com/leagues?sid=0)
13:27:21	611/611	---M--	200	added ('OK')	image/png	etag:%22c41e9ca5cdb2f52f87e8ce90fa856cbf%22	https://www.dream11.com/public/imgs/favicon-32x-1.png	C:/Users/AK/Music/dream11/www.dream11.com/public/imgs/favicon-32x-1.png	(from https://www.dream11.com/leagues?sid=0)
13:27:22	14563/14563	---MCZ	200	added ('OK')	text/css	etag:W/%2238e3-1786d3ea8ae%22	https://www.dream11.com/public/main-172c08140cda3d374b14.css	C:/Users/AK/Music/dream11/www.dream11.com/public/main-172c08140cda3d374b14.css	(from https://www.dream11.com/leagues?sid=0)
13:27:22	272832/272832	---MCZ	200	added ('OK')	application/javascript	etag:W/%22429c0-178fabdb170%22	https://www.dream11.com/sw.js	C:/Users/AK/Music/dream11/www.dream11.com/sw.js	(from https://www.dream11.com/leagues?sid=0)
13:27:23	3739/3739	---MCZ	200	added ('OK')	text/css	etag:W/%226a04e865ce7fb793c1dc5927c2fe9f3f%22	https://www.dream11.com/public/fonts/d11-icons/style.css?v=1.6	C:/Users/AK/Music/dream11/www.dream11.com/public/fonts/d11-icons/style3cc5.css	(from https://www.dream11.com/public/main-172c08140cda3d374b14.css)
13:27:23	2916/2916	---M--	200	added ('OK')	binary/octet-stream	etag:%22fd27b2028658ee35a5bd2efe8e01e023%22	https://www.dream11.com/public/fonts/d11-fonts.eot?3fapne	C:/Users/AK/Music/dream11/www.dream11.com/public/fonts/d11-fonts40a8.eot	(from https://www.dream11.com/public/main-172c08140cda3d374b14.css)
13:27:23	2752/2752	---M--	200	added ('OK')	binary/octet-stream	etag:%222a54f0f3dbfc1ef92e93c4b01803a542%22	https://www.dream11.com/public/fonts/d11-fonts.ttf?3fapne	C:/Users/AK/Music/dream11/www.dream11.com/public/fonts/d11-fonts40a8.ttf	(from https://www.dream11.com/public/main-172c08140cda3d374b14.css)
13:27:23	2832/2832	---M--	200	added ('OK')	application/font-woff	etag:%22e6dcc244c262ef4ab82d98deea8067e5%22	https://www.dream11.com/public/fonts/d11-fonts.woff?3fapne	C:/Users/AK/Music/dream11/www.dream11.com/public/fonts/d11-fonts40a8.woff	(from https://www.dream11.com/public/main-172c08140cda3d374b14.css)
13:27:23	5236/5236	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22227fa8b04b6607214960b02888a7cb32%22	https://www.dream11.com/public/fonts/d11-fonts.svg?3fapne	C:/Users/AK/Music/dream11/www.dream11.com/public/fonts/d11-fonts40a8.svg	(from https://www.dream11.com/public/main-172c08140cda3d374b14.css)
13:27:24	143258/143258	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2222f9a-178fabdb117%22	https://www.dream11.com/public/MaterialIcons-Regular.eot	C:/Users/AK/Music/dream11/www.dream11.com/public/MaterialIcons-Regular.eot	(from https://www.dream11.com/public/main-172c08140cda3d374b14.css)
13:27:24	57620/57620	---M--	200	added ('OK')	application/font-woff	etag:W/%22e114-1786d3ea8f2%22	https://www.dream11.com/public/MaterialIcons-Regular.woff	C:/Users/AK/Music/dream11/www.dream11.com/public/MaterialIcons-Regular.woff	(from https://www.dream11.com/public/main-172c08140cda3d374b14.css)
13:27:24	128180/128180	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%221f4b4-178d1968e65%22	https://www.dream11.com/public/MaterialIcons-Regular.ttf	C:/Users/AK/Music/dream11/www.dream11.com/public/MaterialIcons-Regular.ttf	(from https://www.dream11.com/public/main-172c08140cda3d374b14.css)
13:27:24	31596/31596	---M--	200	added ('OK')	binary/octet-stream	etag:%223082da51accf1077554de24fbc470bde%22	https://www.dream11.com/public/fonts/Noway-Roman-Webfont/Noway-Light-webfont/noway-light-webfont.eot	C:/Users/AK/Music/dream11/www.dream11.com/public/fonts/Noway-Roman-Webfont/Noway-Light-webfont/noway-light-webfont.eot	(from https://www.dream11.com/public/main-172c08140cda3d374b14.css)
13:27:24	27708/27708	---M--	200	added ('OK')	binary/octet-stream	etag:%22f87504db3f9db25a63b070eaf397b2fa%22	https://www.dream11.com/public/fonts/Noway-Roman-Webfont/Noway-Light-webfont/noway-light-webfont.woff2	C:/Users/AK/Music/dream11/www.dream11.com/public/fonts/Noway-Roman-Webfont/Noway-Light-webfont/noway-light-webfont.woff2	(from https://www.dream11.com/public/main-172c08140cda3d374b14.css)
13:27:25	40288/40288	---M--	200	added ('OK')	application/font-woff	etag:%22d8640c32a1f779c597a18844b9410f6c%22	https://www.dream11.com/public/fonts/Noway-Roman-Webfont/Noway-Light-webfont/noway-light-webfont.woff	C:/Users/AK/Music/dream11/www.dream11.com/public/fonts/Noway-Roman-Webfont/Noway-Light-webfont/noway-light-webfont.woff	(from https://www.dream11.com/public/main-172c08140cda3d374b14.css)
13:27:25	85564/85564	---M--	200	added ('OK')	binary/octet-stream	etag:%224c9235e3f5432a7e131a991b32846a18%22	https://www.dream11.com/public/fonts/Noway-Roman-Webfont/Noway-Light-webfont/noway-light-webfont.ttf	C:/Users/AK/Music/dream11/www.dream11.com/public/fonts/Noway-Roman-Webfont/Noway-Light-webfont/noway-light-webfont.ttf	(from https://www.dream11.com/public/main-172c08140cda3d374b14.css)
13:27:25	32974/32974	---M--	200	added ('OK')	binary/octet-stream	etag:%22d8ebab6d3dae463fa5c2d25594d32794%22	https://www.dream11.com/public/fonts/Noway-Roman-Webfont/Noway-Regular-webfont/noway-regular-webfont.eot	C:/Users/AK/Music/dream11/www.dream11.com/public/fonts/Noway-Roman-Webfont/Noway-Regular-webfont/noway-regular-webfont.eot	(from https://www.dream11.com/public/main-172c08140cda3d374b14.css)
13:27:25	28772/28772	---M--	200	added ('OK')	binary/octet-stream	etag:%22f9fbb43af88b754b0327e6d09840962c%22	https://www.dream11.com/public/fonts/Noway-Roman-Webfont/Noway-Regular-webfont/noway-regular-webfont.woff2	C:/Users/AK/Music/dream11/www.dream11.com/public/fonts/Noway-Roman-Webfont/Noway-Regular-webfont/noway-regular-webfont.woff2	(from https://www.dream11.com/public/main-172c08140cda3d374b14.css)
13:27:26	41672/41672	---M--	200	added ('OK')	application/font-woff	etag:%22506a9d0f9be0e493307b0aa1f7eedb6e%22	https://www.dream11.com/public/fonts/Noway-Roman-Webfont/Noway-Regular-webfont/noway-regular-webfont.woff	C:/Users/AK/Music/dream11/www.dream11.com/public/fonts/Noway-Roman-Webfont/Noway-Regular-webfont/noway-regular-webfont.woff	(from https://www.dream11.com/public/main-172c08140cda3d374b14.css)
13:27:26	86820/86820	---M--	200	added ('OK')	binary/octet-stream	etag:%221a3f17c888937e4b2bd1c412f6ffb241%22	https://www.dream11.com/public/fonts/Noway-Roman-Webfont/Noway-Regular-webfont/noway-regular-webfont.ttf	C:/Users/AK/Music/dream11/www.dream11.com/public/fonts/Noway-Roman-Webfont/Noway-Regular-webfont/noway-regular-webfont.ttf	(from https://www.dream11.com/public/main-172c08140cda3d374b14.css)
13:27:26	33427/33427	---M--	200	added ('OK')	binary/octet-stream	etag:%2222b408d452f730ae44294d8a86a0d6e0%22	https://www.dream11.com/public/fonts/Noway-Roman-Webfont/Noway-Medium-webfont/noway-medium-webfont.eot	C:/Users/AK/Music/dream11/www.dream11.com/public/fonts/Noway-Roman-Webfont/Noway-Medium-webfont/noway-medium-webfont.eot	(from https://www.dream11.com/public/main-172c08140cda3d374b14.css)
13:27:26	29248/29248	---M--	200	added ('OK')	binary/octet-stream	etag:%2226a5a4f903ce28d93656022a5f47b53c%22	https://www.dream11.com/public/fonts/Noway-Roman-Webfont/Noway-Medium-webfont/noway-medium-webfont.woff2	C:/Users/AK/Music/dream11/www.dream11.com/public/fonts/Noway-Roman-Webfont/Noway-Medium-webfont/noway-medium-webfont.woff2	(from https://www.dream11.com/public/main-172c08140cda3d374b14.css)
13:27:26	41976/41976	---M--	200	added ('OK')	application/font-woff	etag:%22f45b05a42f511bd113041401ea855fed%22	https://www.dream11.com/public/fonts/Noway-Roman-Webfont/Noway-Medium-webfont/noway-medium-webfont.woff	C:/Users/AK/Music/dream11/www.dream11.com/public/fonts/Noway-Roman-Webfont/Noway-Medium-webfont/noway-medium-webfont.woff	(from https://www.dream11.com/public/main-172c08140cda3d374b14.css)
13:27:27	85324/85324	---M--	200	added ('OK')	binary/octet-stream	etag:%22edfdcba3de70847450e87271f4e10403%22	https://www.dream11.com/public/fonts/Noway-Roman-Webfont/Noway-Medium-webfont/noway-medium-webfont.ttf	C:/Users/AK/Music/dream11/www.dream11.com/public/fonts/Noway-Roman-Webfont/Noway-Medium-webfont/noway-medium-webfont.ttf	(from https://www.dream11.com/public/main-172c08140cda3d374b14.css)
13:27:27	8059/8059	---M--	200	added ('OK')	image/png	etag:%22455b72ab46838dc3a9b6277633bd720e%22	https://www.dream11.com/public/imgs/pwa_default_user_avatar.png	C:/Users/AK/Music/dream11/www.dream11.com/public/imgs/pwa_default_user_avatar.png	(from https://www.dream11.com/public/main-172c08140cda3d374b14.css)
13:27:27	22720/22720	---M--	200	added ('OK')	binary/octet-stream	etag:%2212f30e6fe46af392c1faaf3c42554950%22	https://www.dream11.com/public/fonts/d11-icons/fonts/d11_icons.eot?zceyhk	C:/Users/AK/Music/dream11/www.dream11.com/public/fonts/d11-icons/fonts/d11_iconscf2a.eot	(from https://www.dream11.com/public/fonts/d11-icons/style.css?v=1.6)
13:27:28	11840/11840	---M--	200	added ('OK')	binary/octet-stream	etag:%221cd5150485d29686874fd1ac5bca766d%22	https://www.dream11.com/public/fonts/d11-icons/fonts/d11_icons.woff2?zceyhk	C:/Users/AK/Music/dream11/www.dream11.com/public/fonts/d11-icons/fonts/d11_iconscf2a.woff2	(from https://www.dream11.com/public/fonts/d11-icons/style.css?v=1.6)
13:27:28	22548/22548	---M--	200	added ('OK')	binary/octet-stream	etag:%226bf87d05bec95e71e5503a48d100694d%22	https://www.dream11.com/public/fonts/d11-icons/fonts/d11_icons.ttf?zceyhk	C:/Users/AK/Music/dream11/www.dream11.com/public/fonts/d11-icons/fonts/d11_iconscf2a.ttf	(from https://www.dream11.com/public/fonts/d11-icons/style.css?v=1.6)
13:27:28	22624/22624	---M--	200	added ('OK')	application/font-woff	etag:%2284841ab116b0b01c6efda18d50e0fe5a%22	https://www.dream11.com/public/fonts/d11-icons/fonts/d11_icons.woff?zceyhk	C:/Users/AK/Music/dream11/www.dream11.com/public/fonts/d11-icons/fonts/d11_iconscf2a.woff	(from https://www.dream11.com/public/fonts/d11-icons/style.css?v=1.6)
13:27:28	92406/92406	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e6d50539fe0e4c60c6c123dc3a631bbc%22	https://www.dream11.com/public/fonts/d11-icons/fonts/d11_icons.svg?zceyhk	C:/Users/AK/Music/dream11/www.dream11.com/public/fonts/d11-icons/fonts/d11_iconscf2a.svg	(from https://www.dream11.com/public/fonts/d11-icons/style.css?v=1.6)
